Gold,Silver,Bronze,Gold_Ratio,Silver_Ratio,Bronze_Ratio,Country,Cluster,Cluster_Description,DBSCAN_Cluster,Agglo_Cluster
-0.3552337152681252,-0.3893019455619866,-0.381378273634087,-0.3649753613599508,-0.1324709710238238,0.4535432569788774,Georgia,0,Low Medal Count,0,0
-0.3290130876786444,-0.4049740581456384,-0.3978381256642083,0.247927952265568,-0.4434058939549156,0.1730611031767379,Thailand,0,Low Medal Count,0,0
-0.3683440290628656,-0.3893019455619866,-0.381378273634087,-0.6242806094322855,-0.0367986870450262,0.6045721090261831,Ireland,0,Low Medal Count,0,0
-0.3552337152681252,-0.3579577203946832,-0.4307578297244509,-0.2942557482493139,0.6329073008065562,-0.3016010032576515,Indonesia,0,Low Medal Count,0,0
-0.3421234014733849,-0.3893019455619866,-0.4142979776943296,0.0357691129336577,-0.0367986870450262,0.00045670083696,North Korea,0,Low Medal Count,0,0
-0.3552337152681252,-0.3893019455619866,-0.4142979776943296,-0.211749532953571,0.074818977596904,0.1263140775430482,Australasia,0,Low Medal Count,0,0
-0.3683440290628656,-0.4206461707292901,-0.4142979776943296,-0.3309251772696441,-0.4088575691847944,0.6716960432694302,Lithuania,0,Low Medal Count,0,0
-0.3683440290628656,-0.3893019455619866,-0.4472176817545722,-0.3309251772696441,0.5584955243786024,-0.2009151018927811,Slovenia,0,Low Medal Count,0,0
-0.3683440290628656,-0.3893019455619866,-0.4636775337846935,-0.211749532953571,0.8003337977694517,-0.5281442813286102,Serbia,0,Low Medal Count,0,0
-0.3552337152681252,-0.4206461707292901,-0.4472176817545722,0.3245408664687578,-0.2879384324893697,-0.0373005121748664,Chinese Taipei,0,Low Medal Count,0,0
-0.381454342857606,-0.4049740581456384,-0.4472176817545722,-0.6714270181727101,0.4893988748383597,0.1730611031767379,Algeria,0,Low Medal Count,0,0
-0.3945646566523464,-0.3893019455619866,-0.4801373858148148,-1.2843303317982286,2.1062604740800377,-0.7244817889901077,Malaysia,0,Low Medal Count,-1,0
-0.381454342857606,-0.4049740581456384,-0.4965972378449361,-0.211749532953571,1.888606028028273,-1.5098318196360978,Armenia,0,Low Medal Count,-1,0
-0.381454342857606,-0.4363182833129418,-0.4801373858148148,0.1457773999946481,0.074818977596904,-0.2009151018927811,Zimbabwe,0,Low Medal Count,0,0
-0.381454342857606,-0.4363182833129418,-0.4801373858148148,0.1457773999946481,0.074818977596904,-0.2009151018927811,Yugoslavia,0,Low Medal Count,0,0
-0.3945646566523464,-0.4363182833129418,-0.4636775337846935,-1.2843303317982286,0.074818977596904,1.1080016158505357,Venezuela,0,Low Medal Count,0,0
-0.3945646566523464,-0.4519903958965935,-0.4472176817545722,-1.2843303317982286,-1.3762106627481911,2.4169183335938524,Tunisia,0,Low Medal Count,1,2
-0.381454342857606,-0.4363182833129418,-0.4801373858148148,0.1457773999946481,0.074818977596904,-0.2009151018927811,Latvia,0,Low Medal Count,0,0
